#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Journal of Social Philosophy	1	Journal of Social Philosophy	NULL	J. Soc. Philos.	NULL			NULL	Social philosophy	NULL	John Wiley & Sons	1970-present			0.136	2015			73643848	49863365	NULL	1467-9833	NULL
Feminist Legal Studies	1	Feminist Legal Studies	NULL	Fem. Leg. Stud.	NULL	United Kingdom	NULL	NULL	Women's studies	NULL	Springer	1993–present	NULL	NULL	0.731	2015	FLSTED	NULL	2007233919	44506960	NULL	1572-8455	NULL
Food and Nutrition Bulletin	1	Food and Nutrition Bulletin	NULL	Food Nutr. Bull.	NULL		NULL	NULL	Public health and nutrition	NULL	Sage Publications	1978-present	NULL	NULL	1.648	2016	FNBPDV		TX341	5348644	NULL	1552-6127	NULL
Sydowia (journal)	1	Sydowia	NULL	Sydowia	NULL		NULL	NULL	Mycology	NULL	Verlag Berger	1903–present	Hybrid		0.213	2013	SYAMAU		58034637	1767032	NULL		NULL
Hormones and Behavior	1	Hormones and Behavior	NULL	Horm. Behav.	NULL		NULL	NULL	Behavioral endocrinology	NULL	Elsevier	1969–present			3.340	2015	HOBEAO		70014346	36980568	NULL	1095-6867	NULL
Asian Women (journal)	1	Asian Women	NULL	Asian Women	NULL	Korea	NULL	NULL	Asian studies, women's studies	NULL	The Research Institute of Asian Women (Sookmyung Women's University)	1995–present	NULL	NULL	1.625	2015		NULL	98657870	36782501	NULL		NULL
Acta Politica	1	Acta Politica	NULL	Acta Politica	NULL		NULL	NULL	Political science	NULL	Palgrave Macmillan on behalf of the Dutch Political Science Association	2006-present	NULL	NULL	0.773	2016		NULL	sn86013405	751038670	NULL	1741-1416	NULL
Competition & Change	1	Competition & Change	NULL	Compet. Change	NULL		NULL	NULL	Political economy	NULL	Sage Publications	1995-present					COCHFM	NULL	sn96017162	450990081	NULL	1477-2221	NULL
Radiation Research	1	Radiation Research	NULL	Radiat. Res.	NULL			NULL	Radiobiology	NULL	Radiation Research Society	1954-present			3.022	2015	RAREAE		54012148	890467599	NULL	1938-5404	NULL
Current Drug Metabolism	1	Current Drug Metabolism	NULL	Curr. Drug Metab.	NULL			NULL	Pharmacology	NULL	Bentham Science Publishers	2000-present			2.976	2014	CDMUBU			55201006	NULL	1875-5453	NULL
Astrophysics (journal)	1	NULL	NULL		NULL		NULL	NULL	Astrophysics	NULL	Springer	1965–present	NULL	NULL	0.556	2013					NULL	1573-8191	NULL
Quaternary Science Reviews	1	Quaternary Science Reviews	NULL	Quat. Sci. Rev.	NULL	NULL	NULL	NULL	Quaternary science	NULL	Elsevier	1982-present	NULL	NULL	4.571	2013	QSREDU	NULL	82644010	7580090	NULL	NULL	NULL
Journal of Asia Adventist Seminary	1	NULL	NULL	JAAS	NULL	Silang, Cavite, Philippines	NULL	NULL	Christian theology	NULL	Adventist International Institute of Advanced Studies	1998-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Inter-American Journal of Philosophy	1	Inter-American Journal of Philosophy	NULL	Inter-AM. J. Philos.	English, Portuguese, Spanish			NULL	Philosophy	NULL	Texas A&M University	2010-present	Yes							660057872	NULL	2157-1694	NULL
Experimental Parasitology	1	Experimental Parasitology	NULL	Exp. Parasitol.	NULL		NULL	NULL	Parasitology	NULL	Elsevier	1951–present	Hybrid	NULL	1.859	2013	EXPAAA		56001649	644496773	NULL	1090-2449	NULL
BMGN: Low Countries Historical Review	1	BMGN: Low Countries Historical Review	NULL	BMGN	Dutch, English	Netherlands	NULL	NULL	History of the Low Countries	NULL	Royal Netherlands Historical Society	1877-present	Yes								NULL	2211-2898	NULL
Social History (journal)	1	Social History	NULL	Soc. Hist.	NULL	United Kingdom	NULL	NULL	Sociology and history	NULL	Taylor and Francis	1976–present	NULL	NULL			SOHSEH	03071022	78643875	859650578	NULL	1470-1200	NULL
Current Allergy and Asthma Reports	1	Current Allergy and Asthma Reports	NULL	Curr. Allergy Asthma Rep.	NULL			NULL	Allergy, immunology	NULL	Springer Science+Business Media	2001-present			2.765	2014			00214733	43854820	NULL	1534-6315	NULL
Archives Italiennes de Biologie	1	Archives Italiennes de Biologie	NULL	Arch. Ital. Biol.	NULL	Italy		NULL	Neuroscience	NULL	Pisa University Press	1882-present	Yes		1.422	2013	AIBLAS		sn78006850	231043091	NULL		NULL
Advances in Microbial Physiology	1	Advances in Microbial Physiology	NULL	Adv. Microb. Physiol.	NULL		NULL	NULL	Microbiology	NULL	Academic Press	1967—present	NULL	NULL	5.800	2013	AMIPB2	NULL	67-19850	01461218	NULL	NULL	NULL
Columbia Journal of Environmental Law	1	Columbia Journal of Environmental Law	NULL	Columbia J. Environ. Law	NULL	NULL	NULL	Colum. J. Envtl. L.	Environmental law	NULL	Columbia University	1974-present	NULL	NULL		NULL	NULL		775643962	57832456	NULL		NULL
Developmental Disabilities Research Reviews	1	Developmental Disabilities Research Reviews	NULL	Dev. Disabil. Res. Rev.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2.75	2014	NULL	NULL	NULL	175296472	NULL	1940-5529	NULL
Herpetological Conservation and Biology	1	Herpetological Conservation and Biology	NULL	Herpetol. Conserv. Biol.	NULL	United States	NULL	NULL	Herpetology	NULL	Herpetological Conservation and Biology	2006–present	Yes		0.595	2014		NULL		427887140	NULL	1931-7603	NULL
Journal of the Australian Early Medieval Association	1	Journal of the Australian Early Medieval Association	NULL	J. Aust. Early Mediev. Assoc.	NULL	Australia	NULL	NULL	Medieval studies	NULL	Australian Early Medieval Association	2005-present	NULL	NULL						465698294	NULL		NULL
The Journal of Emergency Medicine	1	The Journal of Emergency Medicine	NULL	J. Emerg. Med.	NULL			NULL	Emergency medicine	NULL	Elsevier	1983-present	Hybrid		1.175	2013				09159685	NULL		NULL
Future Microbiology	1	Future Microbiology	NULL	Future Microbiol.	NULL			NULL	Microbiology	NULL	Future Medicine Ltd	2006–present			3.374	2016	FMUIAR			316181912	NULL	1746-0921	NULL
Zeitschrift für Geomorphologie	1	Zeitschrift für Geomorphologie	NULL		English, German, French	NULL	NULL	NULL	Geomorphology	NULL	NULL	NULL		NULL	0.821	2012	NULL	NULL	NULL	NULL	NULL	1864-1687	NULL
Oncology Nursing Forum	1	Oncology Nursing Forum	NULL	Oncol. Nurs. Forum	NULL			NULL	Oncology nursing	NULL	Oncology Nursing Society	1977-present			2.788	2014				863062327	NULL	1538-0688	NULL
Theatre Annual	1	Theatre Annual	NULL	Theatre Ann.	NULL	United States	NULL	NULL	Performance studies	NULL	College of William & Mary	1942-present		NULL						1767400	NULL		NULL
Africa Theological Journal	1	Africa Theological Journal	NULL	Afr. Theol. J.	NULL	Tanzania	NULL	NULL	Theology	NULL	Tumaini University Makumira	1968-present	NULL	NULL	NULL	NULL	NULL	NULL	77640516	1776348	NULL	NULL	NULL
Social Science Research	1	Social Science Research	NULL	Soc. Sci. Res.	NULL			NULL	Sociology	NULL	Elsevier	1972-present			1.515	2013	SSREBG		73642620	885183460	NULL	1096-0317	NULL
Public Health Reports	1	Public Health Reports	NULL	Public Health Rep.	NULL		Bulletins of the Public Health, Weekly Abstract of Sanitary Reports, HSMHA Health Reports, Health Services Reports	NULL	Public health	NULL	Association of Schools and Programs of Public Health on behalf of the United States Public Health Service	1878–present	Delayed, after 1 year		4.547	2014	PHRPA6		75642678	889405256	NULL	1468-2877	NULL
Fafnir (journal)	1	Fafnir – Nordic Journal of Science Fiction and Fantasy Research	NULL	NULL	NULL	Finland	NULL	NULL	NULL	NULL	Suomen science fiction- ja fantasiatutkimuksen seura ry.	2014	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
American Journal of Cancer Research	1	American Journal of Cancer Research	NULL	Am. J. Cancer Res.	NULL		NULL	NULL	Oncology	NULL	e-Century Publishing Corporation	2011-present			4.165	2014				652560548	NULL		NULL
AoB Plants	1	AoB Plants	NULL	NULL	NULL		NULL	NULL	Botany, environmental biology	NULL	Oxford University Press on behalf of  the Annals of Botany Company	2009–present	Yes	Creative Commons Attribution License 4.0	2.238	2016	APOLD9	NULL	NULL	495838677	NULL	2041-2851	NULL
Acarologia	1	Acarologia	NULL	Acarologia	NULL		NULL	NULL	Acarology	NULL		1959-present	Yes	Creative Commons-BY-NC-ND	1.103	2015	ACRLAW	NULL	65085523	782068715	NULL	2107-7207	NULL
Autonomic Neuroscience: Basic and Clinical	1	Autonomic Neuroscience	NULL	Auton. Neurosci.	NULL		NULL	NULL	Autonomic neuroscience	NULL	Elsevier	1978-present	Hybrid		1.562	2014	ANUEB2			838647867	NULL	1872-7484	NULL
Journal of System Safety	1	Journal of System Safety	NULL	J. Syst. Safety	NULL		NULL	NULL	System safety	NULL	International System Safety Society	1965-present	NULL	NULL				NULL	85644652	4877745	NULL		NULL
Psycho-Oncology	1	Psycho-Oncology	NULL	Psychooncology	English			NULL	Psycho-oncology		Wiley-Blackwell	1992-present			2.443	2014	POJCEE		93658503	900953412		1099-1611	NULL
El Iris	1	El Iris	NULL		Spanish	Mexico	NULL	NULL	Literature and fashion			February–August 1826									NULL	NULL	NULL
Journal of Non-Equilibrium Thermodynamics	1	Journal of Non-Equilibrium Thermodynamics	NULL	J. Non-Equilib. Thermodyn.	NULL		NULL	NULL	Non-equilibrium thermodynamics	NULL	Walter de Gruyter	1976-present	NULL	NULL	0.805	2013	JNETDY	NULL	77649840	42731871	NULL	1437-4358	NULL
Ecological Complexity	1	Ecological Complexity	NULL	Ecol. Complex.	NULL		NULL	NULL	Biocomplexity, ecology	NULL	Elsevier	2004–present	NULL	NULL	1.931	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Neuroscience Methods	1	Journal of Neuroscience Methods	NULL	J. Neurosci. Methods	NULL			NULL	Neuroscience	NULL	Elsevier	1979-present	Hybrid		2.256	2015	JNMEDT			04929303	NULL	1872-678X	NULL
Revue Belge de Philologie et d'Histoire	1	Revue Belge de Philologie et d’Histoire – Belgisch Tijdschrift voor Filologie en Geschiedenis	NULL	RBPH - BTFG	French, Dutch, English	Belgium	NULL	NULL	Philology, History	NULL	Société pour le Progrès des Études Philologiques et Historiques	1922-present	yes								NULL	2295-9068	NULL
European Journal of Clinical Nutrition	1	European Journal of Clinical Nutrition	NULL	Eur. J. Clin. Nutr.	NULL		NULL	NULL	Nutrition science	NULL	Nature Publishing Group	1947-present			2.709	2014	EJCNEQ		78641817	39737748	NULL	1476-5640	NULL
Virchows Archiv	1	Virchows Archiv	NULL	Virchows Arch.	NULL		Archiv für pathologische Anatomie und Physiologie und für klinische Medizin	NULL	Pathology	NULL	Springer Science+Business Media on behalf of the European Society of Pathology	1847–present			2.848	2016	VARCEM		94038299	1645130	NULL	1432-2307	NULL
ACM Computers in Entertainment	1	ACM Computers in Entertainment	NULL	ACM Comput. Entertain.	NULL		NULL	NULL		NULL	Association for Computing Machinery	2003–present									NULL	1544-3574	NULL
Interstate Journal of International Affairs	1	Interstate Journal of International Affairs	NULL	Interstate J. Int. Aff.	English, Welsh	United Kingdom	NULL	NULL	International relations	NULL	Department of International Politics, Aberystwyth University	1965-present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	7830152	NULL	NULL	NULL
Mycological Progress	1	Mycological Progress	NULL	Mycol. Prog.	NULL		NULL	NULL	Mycology	NULL	Springer Science+Business Media	2002–present	Hybrid		1.543	2013				67618445	NULL	1861-8952	NULL
Teachers College Record	1	Teachers College Record	NULL	Teach. Coll. Rec.	NULL		NULL	NULL	Education	NULL	Teachers College, Columbia University	1900-present	NULL	NULL	0.722	2013			92645723	1590002	NULL	1467-9620	NULL
Le Droit des femmes	1	Le Droit des femmes	NULL		French	France		NULL	Feminism			1869–1891No 408, 20 Dec. 1891							sf94091994				NULL
Annals of Nuclear Energy	1	Annals of Nuclear Energy	NULL	Ann. Nucl. Energy			Annals of Nuclear Science and Engineering (1974)	NULL	Nuclear engineering		Elsevier	1975 – present	Hybrid		1.020	2013	ANENDJ			50375208		1873-2100	NULL
Agriculture, Ecosystems & Environment	1	Agriculture, Ecosystems & Environment	NULL	Agric. Ecosyst. Environ.	NULL		NULL	NULL	Agroecosystems, ecology, environmental science	NULL	Elsevier	1974-present			2.859	2012	AEENDO		83643491	9506512	NULL		NULL
Michigan Journal of Environmental and Administrative Law	1	Michigan Journal of Environmental & Administrative Law	NULL	Mich. J. Environ. Admin. Law	NULL	NULL	NULL	Mich. J. Envtl. & Admin. L.	Administrative and Environmental law	NULL	University of Michigan School of Law	2012-present	NULL	NULL		NULL	NULL		2012222283	786034934	NULL		NULL
Philosophia (journal)	1	Philosophia	NULL	Philosophia	NULL		NULL	NULL	Philosophy	NULL	Springer Science+Business Media	1971–present	NULL	NULL			NULL	NULL	70955463	610312518	NULL	1574-9274	NULL
The Johns Hopkins Medical Journal	1	The Johns Hopkins Medical Journal	NULL	Johns Hopkins Med. J.	NULL	United States	NULL	NULL	Medicine	NULL	Johns Hopkins Press	1889-1982					JHMJAX		74647460	2240006	NULL		NULL
IEEE Transactions on Fuzzy Systems	1	IEEE Transactions on Fuzzy Systems	NULL	IEEE Trans. Fuzzy Syst.	NULL		NULL	NULL	Fuzzy control systems	NULL	IEEE Computational Intelligence Society	1993-present	No		6.701	2016	IEFSEV		93640611	26109022	NULL		NULL
Epigenomics (journal)	1	Epigenomics	NULL	Epigenomics	NULL			NULL	Epigenomics	NULL	Future Medicine Ltd	2009–present			4.541	2016	EPIGC7			746948365	NULL	1750-192X	NULL
ACM Transactions on Algorithms	1	ACM Transactions on Algorithms	NULL	ACM Trans. Algorithms	NULL	NULL	NULL	NULL	Algorithms	NULL	Association for Computing Machinery	2005–present	NULL	NULL	0.400	2013	NULL	NULL	2004212232	723357572	NULL	1549-6333	NULL
Women & Therapy	1	Women & Therapy	NULL	Women Ther.	NULL		NULL	NULL	Women's studies, feminist psychology	NULL	Taylor and Francis	1982–present	NULL	NULL	0.229	2015	WOTHDJ	NULL	82645607	50240474	NULL	1541-0315	NULL
Journal of Women & Aging	1	Journal of Women & Aging	NULL	J. Women Aging	NULL		NULL	NULL	Women's studies	NULL	Routledge	1989–present	NULL	NULL	0.846	2015	JWAGE5	NULL	89656519	50120652	NULL	1540-7322	NULL
Studies in American Indian Literatures	1	Studies in American Indian Literatures	NULL	Stud. Am. Indian Lit.	NULL	United States	NULL	NULL	Native American studies	NULL	University of Nebraska Press on behalf of the Association for the Study of American Indian Literatures	1977-present			NULL	NULL		07303238	sf94091831	54533161	NULL	1548-9590	NULL
New Formations	1	New Formations: A Journal of Culture, Theory & Politics	NULL	New Form.	NULL		NULL	NULL	Cultural theory	NULL	Lawrence and Wishart	1987–present	NULL	NULL			NULL	NULL	93650684	55052428	NULL	1741-0789	NULL
Obesity (journal)	1	Obesity	NULL		English		Obesity Research	NULL	Endocrinology		Wiley-Blackwell on behalf of The Obesity Society	1993-present			4.389	2013						1930-739X	NULL
European Urology	1	European Urology	NULL	Eur. Urol.				NULL	Urology		Elsevier	1975-present			13.938	2014	EUURAV			01809591		1873-7560	NULL
European Journal of Clinical Microbiology & Infectious Diseases	1	European Journal of Clinical Microbiology & Infectious Diseases	NULL	Eur. J. Clin. Microbiol. Infect. Dis.			European Journal of Clinical Microbiology	NULL	Clinical microbiology and Infectious diseases	NULL	Springer Science+Business Media	1982-present	Hybrid		2.544	2013	EJCDEU			17800606		1435-4373	NULL
Ancient TL	1	Ancient TL	NULL		NULL	USA	NULL	NULL	Luminescence Dating, Electron Spin Resonance Dating	NULL	Luminescence Dosimetry Laboratory, Department of Physics, East Carolina University	1977–present	NULL	NULL			NULL	NULL	NULL	NULL	NULL		NULL
EBioMedicine	1	EBioMedicine	NULL	EBioMedicine	NULL	NULL	NULL	NULL	Medicine	NULL	Elsevier	2014-present	Open access	NULL							NULL	2352-3964	NULL
Trends in Cardiovascular Medicine	1	Trends in Cardiovascular Medicine	NULL	Trends Cardiovasc. Med.	English			NULL	Cardiology		Elsevier	1991-present			3.075	2015	TCMDEQ						NULL
Criminology & Public Policy	1	Criminology & Public Policy	NULL	Criminol. Public Policy	English			NULL	Criminology			2001-present			1.419	2016			2001248629	237051428		1745-9133	NULL
Journal of Integer Sequences	1	Journal of Integer Sequences	NULL	J. Integer Seq.				NULL	Integer sequences		University of Waterloo	1998–present	Yes							42458787			NULL
Annals of Carnegie Museum	1	Annals of Carnegie Museum	NULL	Ann. Carnegie Mus.	NULL	United States	NULL	NULL	zoology, paleontology, geology, anthropology	NULL	Carnegie Museum of Natural History	1901–present	Yes		0.724	2014				1261514	NULL	1943-6300	NULL
International Theory	1	International Theory	NULL	Int. Theor.	NULL	United Kingdom	NULL	NULL	Political science	NULL	Cambridge University Press	2009–present	NULL	NULL	1.051	2014	NULL	NULL	2009207508	435529537	NULL	1752-9727	NULL
Journal of Clinical Orthodontics	1	Journal of Clinical Orthodontics	NULL	J. Clin. Orthod.	NULL		NULL	NULL	Orthodontics	NULL	JPO, Inc.	1967–present					JCLOB9			212370277	NULL		NULL
Bone & Joint Research	1	Bone & Joint Research	NULL	Bone Joint Res.	NULL			NULL	Orthopaedics	NULL	The British Editorial Society of Bone & Joint Surgery	2012-present	Yes	CC BY-NC 3.0	2.597	2016	NULL	NULL	NULL	NULL	NULL	2046-3758	NULL
Higher Education for the Future	1	Higher Education for the Future	NULL	High. Educ. Future	NULL		NULL	NULL	Education	NULL	Sage Publications	Jan 2014									NULL	2348-5779	NULL
Evangelical Review of Theology and Politics	1	NULL	NULL	Evangelical Rev. Theol. Politics	NULL	United Kingdom	NULL	NULL	Theology	NULL	King's Evangelical Divinity School	2012-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
The Shaker Quarterly	1	The Shaker Quarterly	NULL	NULL	English	United States	NULL	NULL	Shakers, history, theology, religious studies, mail order catalog		Sabbathday Lake Shaker Village	1961–1975, 1987–1996	NULL	NULL	NULL	NULL	NULL	NULL	sf80001422	1681198	NULL	NULL	NULL
Journal of the American Society of Hypertension	1	Journal of the American Society of Hypertension	NULL	J. Am. Soc. Hypertens.	English			NULL	Hypertension		Elsevier	2007-present			2.606	2014						1878-7436	NULL
Hydrology and Earth System Sciences	1	Hydrology and Earth System Sciences	NULL	Hydrol. Earth. Syst. Sc.				NULL	Hydrology		Copernicus Publications on behalf of the European Geosciences Union	1997-present	Yes		3.535	2014			00220422	54681644			NULL
APMIS	1	APMIS	NULL	APMIS	NULL	Denmark	NULL	NULL	NULL	NULL	Munksgaard	since 1988	Gold (optional)	NULL	2.042	2014	APMSEL	NULL	NULL	17476618	NULL	1600-0463	NULL
Thinking Skills and Creativity	1	Thinking Skills and Creativity	NULL	Think. Skills Creativity	NULL		NULL	NULL	Creativity, education	NULL	Elsevier	2006–present			1.461	2014			2006206018	71203685	NULL		NULL
